,date_time,action,signal,buy_price,sell_price,pnl,balance
45,2020-01-07 04:00:00,-1,Sell,7540.0,7886.53,4.53,973.8115383403651
46,2020-01-07 04:00:00,-1,Sell,7886.53,,,973.8115383403651
47,2020-01-07 08:00:00,1,Buy,7886.53,7883.11,-0.03,974.2331324876167
48,2020-01-07 08:00:00,1,Buy,7883.11,,,974.2331324876167
49,2020-01-07 20:00:00,-1,Sell,7883.11,8073.69,2.35,997.7852372042183
50,2020-01-07 20:00:00,-1,Sell,8073.69,,,997.7852372042183
51,2020-01-08 00:00:00,1,Buy,8073.69,8182.97,-1.42,984.279191975249
52,2020-01-08 00:00:00,1,Buy,8182.97,,,984.279191975249
53,2020-01-08 17:26:00,1,SL Hit,8182.97,8010.0,-2.18,963.4729932582844
54,2020-01-09 00:00:00,1,Buy,8040.18,,,963.4729932582844
55,2020-01-09 08:00:00,-1,Sell,8040.18,7949.57,-1.2,952.6142915818128
56,2020-01-09 08:00:00,-1,Sell,7949.57,,,952.6142915818128
57,2020-01-09 12:00:00,1,Buy,7949.57,7878.02,0.83,961.18758395658
58,2020-01-09 12:00:00,1,Buy,7878.02,,,961.18758395658
59,2020-01-09 16:00:00,-1,Sell,7878.02,7907.05,0.3,964.7287987476392
60,2020-01-09 16:00:00,-1,Sell,7907.05,,,964.7287987476392
61,2020-01-10 15:20:00,-1,SL Hit,7907.05,8068.0,-2.11,945.0908003672783
62,2020-01-10 20:00:00,-1,Sell,8079.81,,,945.0908003672783
63,2020-01-11 04:00:00,1,Buy,8079.81,8170.43,-1.19,934.4903302824271
64,2020-01-11 04:00:00,1,Buy,8170.43,,,934.4903302824271
65,2020-01-11 12:00:00,-1,Sell,8170.43,8045.89,-1.59,920.2454074283822
66,2020-01-11 12:00:00,-1,Sell,8045.89,,,920.2454074283822
67,2020-01-11 20:00:00,1,Buy,8045.89,8151.77,-1.39,908.1347253457889
68,2020-01-11 20:00:00,1,Buy,8151.77,,,908.1347253457889
69,2020-01-12 00:00:00,-1,Sell,8151.77,8006.99,-1.85,892.0050440895017
70,2020-01-12 00:00:00,-1,Sell,8006.99,,,892.0050440895017
71,2020-01-12 08:00:00,1,Buy,8006.99,8096.73,-1.19,882.0070126757505
72,2020-01-12 08:00:00,1,Buy,8096.73,,,882.0070126757505
73,2020-01-12 20:00:00,-1,Sell,8096.73,8131.4,0.36,885.7830451504
74,2020-01-12 20:00:00,-1,Sell,8131.4,,,885.7830451504
75,2020-01-13 08:00:00,1,Buy,8131.4,8075.26,0.62,891.8978800096792
76,2020-01-13 08:00:00,1,Buy,8075.26,,,891.8978800096792
77,2020-01-14 00:00:00,-1,Sell,8075.26,8118.83,0.47,896.7094078056908
78,2020-01-14 00:00:00,-1,Sell,8118.83,,,896.7094078056908
79,2020-01-14 04:00:00,1,Buy,8118.83,8461.83,-4.29,858.8250069673494
80,2020-01-14 04:00:00,1,Buy,8461.83,,,858.8250069673494
81,2020-01-14 08:00:00,-1,Sell,8461.83,8508.06,0.48,863.5163747673525
82,2020-01-14 08:00:00,-1,Sell,8508.06,,,863.5163747673525
83,2020-01-14 16:00:00,1,Buy,8508.06,8673.18,-2.01,846.7569984296697
84,2020-01-14 16:00:00,1,Buy,8673.18,,,846.7569984296697
85,2020-01-14 20:00:00,-1,Sell,8673.18,8729.52,0.58,852.2567364802495
86,2020-01-14 20:00:00,-1,Sell,8729.52,,,852.2567364802495
87,2020-01-15 00:00:00,1,Buy,8729.52,8814.64,-1.05,843.9458323213498
88,2020-01-15 00:00:00,1,Buy,8814.64,,,843.9458323213498
89,2020-01-15 04:06:00,1,SL Hit,8814.64,8619.9,-2.28,825.3000133617259
90,2020-01-15 12:00:00,1,Buy,8730.0,,,825.3000133617259
91,2020-01-15 16:00:00,-1,Sell,8730.0,8762.73,0.3,828.3934793912023
92,2020-01-15 16:00:00,-1,Sell,8762.73,,,828.3934793912023
93,2020-01-16 00:00:00,1,Buy,8762.73,8820.01,-0.72,822.9777570751514
94,2020-01-16 00:00:00,1,Buy,8820.01,,,822.9777570751514
95,2020-01-16 04:00:00,-1,Sell,8820.01,8626.66,-2.26,804.9359494879174
96,2020-01-16 04:00:00,-1,Sell,8626.66,,,804.9359494879174
97,2020-01-16 20:00:00,1,Buy,8626.66,8705.01,-0.98,797.62457170041
98,2020-01-16 20:00:00,1,Buy,8705.01,,,797.62457170041
99,2020-01-17 04:00:00,-1,Sell,8705.01,8790.44,0.91,805.4516705381329
100,2020-01-17 04:00:00,-1,Sell,8790.44,,,805.4516705381329
101,2020-01-17 08:00:00,1,Buy,8790.44,8940.82,-1.78,791.6719307840906
102,2020-01-17 08:00:00,1,Buy,8940.82,,,791.6719307840906
103,2020-01-17 12:00:00,-1,Sell,8940.82,8893.16,-0.6,787.4511386425231
104,2020-01-17 12:00:00,-1,Sell,8893.16,,,787.4511386425231
105,2020-01-17 16:00:00,1,Buy,8893.16,8876.28,0.12,788.945090174744
106,2020-01-17 16:00:00,1,Buy,8876.28,,,788.945090174744
107,2020-01-18 08:00:00,-1,Sell,8876.28,8840.35,-0.47,785.750845458942
108,2020-01-18 08:00:00,-1,Sell,8840.35,,,785.750845458942
109,2020-01-18 16:00:00,1,Buy,8840.35,8911.73,-0.88,779.4057252324964
110,2020-01-18 16:00:00,1,Buy,8911.73,,,779.4057252324964
111,2020-01-19 04:00:00,-1,Sell,8911.73,9162.01,2.74,801.2941157807053
112,2020-01-19 04:00:00,-1,Sell,9162.01,,,801.2941157807053
113,2020-01-19 08:00:00,1,Buy,9162.01,9081.06,0.81,808.3731677862639
114,2020-01-19 08:00:00,1,Buy,9081.06,,,808.3731677862639
115,2020-01-19 12:00:00,-1,Sell,9081.06,8681.16,-4.47,772.7743735332002
116,2020-01-19 12:00:00,-1,Sell,8681.16,,,772.7743735332002
117,2020-01-20 04:00:00,1,Buy,8681.16,8667.64,0.09,773.9771889078932
118,2020-01-20 04:00:00,1,Buy,8667.64,,,773.9771889078932
119,2020-01-20 12:00:00,-1,Sell,8667.64,8615.71,-0.67,769.3393979096529
120,2020-01-20 12:00:00,-1,Sell,8615.71,,,769.3393979096529
121,2020-01-20 20:00:00,1,Buy,8615.71,8670.17,-0.7,764.4756949058192
122,2020-01-20 20:00:00,1,Buy,8670.17,,,764.4756949058192
123,2020-01-21 00:00:00,-1,Sell,8670.17,8644.63,-0.36,762.2230541425014
124,2020-01-21 00:00:00,-1,Sell,8644.63,,,762.2230541425014
125,2020-01-21 08:00:00,1,Buy,8644.63,8635.28,0.04,763.0467717932546
126,2020-01-21 08:00:00,1,Buy,8635.28,,,763.0467717932546
127,2020-01-22 00:00:00,-1,Sell,8635.28,8742.61,1.17,772.5301661152187
128,2020-01-22 00:00:00,-1,Sell,8742.61,,,772.5301661152187
129,2020-01-23 00:00:00,1,Buy,8742.61,8682.77,0.61,777.8171553911139
130,2020-01-23 00:00:00,1,Buy,8682.77,,,777.8171553911139
131,2020-01-23 05:35:00,1,SL Hit,8682.77,8502.82,-2.14,761.6962314173554
132,2020-01-23 12:00:00,1,Buy,8422.98,,,761.6962314173554
133,2020-01-23 16:00:00,-1,Sell,8422.98,8357.81,-0.84,755.8021607336462
134,2020-01-23 16:00:00,-1,Sell,8357.81,,,755.8021607336462
135,2020-01-24 00:00:00,1,Buy,8357.81,8404.52,-0.63,751.5774452406081
136,2020-01-24 00:00:00,1,Buy,8404.52,,,751.5774452406081
137,2020-01-24 08:00:00,-1,Sell,8404.52,8338.53,-0.86,745.6755640177153
138,2020-01-24 08:00:00,-1,Sell,8338.53,,,745.6755640177153
139,2020-01-24 14:38:00,-1,SL Hit,8338.53,8507.35,-2.09,730.5780845233115
140,2020-01-24 20:00:00,-1,Sell,8491.83,,,730.5780845233115
141,2020-01-25 00:00:00,1,Buy,8491.83,8438.99,0.55,735.123371193583
142,2020-01-25 00:00:00,1,Buy,8438.99,,,735.123371193583
143,2020-01-25 01:44:00,1,SL Hit,8438.99,8254.9,-2.25,719.0865268915958
144,2020-01-25 08:00:00,1,Buy,8316.72,,,719.0865268915958
145,2020-01-25 12:00:00,-1,Sell,8316.72,8326.92,0.05,719.9677469964322
146,2020-01-25 12:00:00,-1,Sell,8326.92,,,719.9677469964322
147,2020-01-25 16:00:00,1,Buy,8326.92,8331.03,-0.12,719.6116854173422
148,2020-01-25 16:00:00,1,Buy,8331.03,,,719.6116854173422
149,2020-01-26 00:00:00,-1,Sell,8331.03,8340.01,0.04,720.3866533641684
150,2020-01-26 00:00:00,-1,Sell,8340.01,,,720.3866533641684
151,2020-01-26 08:00:00,1,Buy,8340.01,8384.85,-0.61,716.5128000301977
152,2020-01-26 08:00:00,1,Buy,8384.85,,,716.5128000301977
153,2020-01-26 12:00:00,-1,Sell,8384.85,8479.15,1.05,724.5703428184225
154,2020-01-26 12:00:00,-1,Sell,8479.15,,,724.5703428184225
155,2020-01-27 00:00:00,-1,SL Hit,8479.15,8653.21,-2.12,709.695662069058
156,2020-01-27 04:00:00,-1,Sell,8669.45,,,709.695662069058
157,2020-01-27 12:00:00,1,Buy,8669.45,8735.67,-0.83,704.274082227521
158,2020-01-27 12:00:00,1,Buy,8735.67,,,704.274082227521
159,2020-01-27 16:00:00,-1,Sell,8735.67,8791.21,0.57,708.7510447911155
160,2020-01-27 16:00:00,-1,Sell,8791.21,,,708.7510447911155
161,2020-01-27 20:00:00,1,Buy,8791.21,8932.11,-1.67,697.3909275765262
162,2020-01-27 20:00:00,1,Buy,8932.11,,,697.3909275765262
163,2020-01-28 00:00:00,-1,Sell,8932.11,8907.57,-0.34,695.4742219112659
164,2020-01-28 00:00:00,-1,Sell,8907.57,,,695.4742219112659
165,2020-01-28 00:45:00,-1,SL Hit,8907.57,9088.0,-2.1,681.3861317633973
166,2020-01-28 08:00:00,1,Buy,9039.68,,,681.3861317633973
167,2020-01-28 12:00:00,-1,Sell,9039.68,9087.48,0.46,684.9884638506271
168,2020-01-28 12:00:00,-1,Sell,9087.48,,,684.9884638506271
169,2020-01-28 16:00:00,1,Buy,9087.48,9037.15,0.48,688.7814964789908
