date_time,actual_sell_price,predicted_sell_price
2024-02-28 04:00:00,56916.39,56178.883
2024-02-28 08:00:00,58241.09,56358.266
2024-02-28 12:00:00,59118.81,57238.09
2024-02-28 13:24:00,60329.16,58073.094
2024-02-28 23:15:00,62295.56,59110.08
2024-02-29 16:00:00,62768.01,60644.746
2024-02-29 20:00:00,61599.99,61479.875
2024-03-01 00:00:00,61130.99,61183.53
2024-03-01 08:00:00,61434.0,60953.793
2024-03-02 04:00:00,62197.82,61126.312
2024-03-02 08:00:00,62011.85,61643.457
2024-03-02 16:00:00,61771.21,61738.473
2024-03-02 20:00:00,62114.76,61681.176
2024-03-03 04:00:00,61931.09,61887.613
2024-03-03 12:00:00,61831.1,61849.188
2024-03-03 16:00:00,62193.26,61776.7
2024-03-04 00:00:00,63113.97,61950.344
2024-03-04 04:00:00,63432.64,62519.934
2024-03-04 08:08:00,64777.77,62874.555
2024-03-05 00:00:00,68245.71,63760.37
2024-03-05 08:00:00,66320.0,65975.98
2024-03-05 12:00:00,66666.0,65554.625
2024-03-05 16:08:00,65142.0,65798.36
2024-03-06 05:10:00,65045.03,65085.38
2024-03-06 12:45:00,65403.84,64901.566
2024-03-07 00:00:00,65999.64,65067.69
2024-03-07 04:00:00,65847.3,65456.402
2024-03-07 11:06:00,67200.0,65490.1
2024-03-07 20:00:00,67604.0,66284.56
2024-03-08 00:00:00,66823.18,66733.88
2024-03-08 04:00:00,67140.95,66424.6
2024-03-08 08:00:00,67223.02,66568.99
2024-03-08 12:00:00,67741.22,66659.64
2024-03-08 16:00:00,67617.6,67003.44
2024-03-08 20:01:00,69075.49,67051.94
2024-03-10 00:00:00,68342.72,67916.71
2024-03-10 12:00:00,69661.1,67753.3
2024-03-10 16:00:00,69284.18,68509.56
2024-03-11 08:00:00,71194.01,68513.18
2024-03-12 04:00:00,71649.85,69634.34
2024-03-12 08:00:00,72121.1,70217.89
2024-03-12 16:25:00,70333.0,70712.734
2024-03-13 04:00:00,72048.7,69912.984
2024-03-13 16:00:00,72550.67,70746.53
2024-03-14 04:00:00,73241.11,71259.445
2024-03-14 08:00:00,73381.11,71840.53
2024-03-14 12:00:00,72823.14,72140.62
2024-03-14 16:00:00,71016.0,71951.22
2024-03-14 20:00:00,69415.09,70914.98
2024-03-15 02:53:00,68000.0,69748.08
2024-03-15 12:00:00,67677.43,68611.51
2024-03-16 04:00:00,69200.07,68044.49
2024-03-16 16:00:00,68275.54,68664.34
2024-03-16 18:09:00,66904.87,68214.18
2024-03-17 08:00:00,65636.68,67295.695
2024-03-17 12:00:00,67013.0,66284.305
2024-03-17 16:38:00,68360.0,66697.5
2024-03-18 01:03:00,66800.0,67462.07
2024-03-18 12:00:00,68253.39,66755.766
2024-03-18 16:00:00,67467.19,67410.56
2024-03-19 00:00:00,67610.0,67127.44
2024-03-19 07:05:00,64200.0,67154.27
2024-03-19 16:00:00,64051.85,65205.773
2024-03-19 22:43:00,62736.34,64608.72
2024-03-20 08:00:00,62781.09,63631.43
2024-03-20 16:00:00,63710.0,63319.473
2024-03-20 18:53:00,65131.14,63659.047
2024-03-21 03:51:00,66431.13,64460.977
2024-03-21 12:00:00,67148.01,65381.47
2024-03-21 16:00:00,66313.45,66026.195
2024-03-21 20:00:00,65223.73,65778.34
2024-03-22 04:00:00,65940.05,65144.883
2024-03-22 10:34:00,64619.95,65420.805
2024-03-23 04:00:00,63556.0,64756.64
2024-03-23 08:00:00,64575.41,64014.957
2024-03-23 20:00:00,64940.01,64373.875
2024-03-24 04:00:00,63991.53,64634.285
2024-03-24 10:47:00,65347.4,64154.824
2024-03-24 22:10:00,67000.0,64768.387
2024-03-25 12:00:00,66810.15,65822.61
2024-03-25 14:00:00,68348.99,66008.516
2024-03-26 08:00:00,70486.38,66986.734
2024-03-26 16:00:00,70250.01,68485.48
2024-03-27 16:00:00,69250.0,68830.77
2024-03-28 04:00:00,69290.0,68504.4
2024-03-28 08:00:00,70426.0,68540.26
2024-03-28 16:00:00,71272.83,69232.73
2024-03-29 00:00:00,70746.29,69937.734
2024-03-29 04:00:00,70439.8,69885.805
2024-03-29 16:00:00,69301.99,69766.33
2024-03-29 20:00:00,69665.99,69138.03
2024-03-30 08:00:00,69852.18,69186.65
2024-03-31 00:00:00,69690.01,69264.73
2024-03-31 04:00:00,69882.01,69178.84
2024-03-31 12:00:00,70369.99,69268.98
2024-03-31 20:00:00,71050.51,69563.28
2024-04-01 00:00:00,71194.0,70015.414
2024-04-01 04:00:00,70588.01,70214.86
2024-04-01 08:00:00,69577.37,69955.7
2024-04-01 16:00:00,68237.15,69348.234
2024-04-01 20:00:00,69648.01,68448.83
2024-04-02 02:34:00,68111.0,68980.125
2024-04-02 12:00:00,65622.69,68195.016
2024-04-03 00:00:00,65512.38,66574.625
2024-04-03 04:00:00,66225.79,66040.26
2024-04-03 08:00:00,66135.98,66187.93
2024-04-03 12:00:00,66059.75,66080.414
2024-04-03 16:00:00,66000.0,65952.125
2024-04-03 20:00:00,65776.01,65843.38
2024-04-04 00:00:00,65963.27,65653.33
2024-04-04 04:00:00,65614.8,65685.78
2024-04-04 20:00:00,68542.88,65461.324
2024-04-05 04:00:00,67840.87,67029.914
2024-04-05 05:21:00,66380.0,67057.84
2024-04-05 16:00:00,68190.62,66325.56
2024-04-06 00:00:00,67820.63,67184.73
2024-04-06 08:00:00,68008.01,67194.97
2024-04-07 00:00:00,68972.65,67343.484
2024-04-07 04:00:00,69450.01,67953.195
2024-04-07 12:00:00,69357.0,68413.13
2024-04-07 16:00:00,69812.01,68530.16
2024-04-08 00:00:00,69360.38,68875.984
2024-04-08 07:37:00,70818.18,68730.836
2024-04-09 01:10:00,70913.14,69549.18
2024-04-10 04:00:00,69150.18,69846.266
2024-04-10 12:00:00,69043.0,68976.72
2024-04-11 00:00:00,70467.99,68743.56
